trainGaId;trainGaNr;iterations;score
trainGa04M0;w003;1;2.220
trainGa04M0;w003;2;2.074
trainGa04M0;w003;3;4.952
trainGa04M0;w003;4;7.527
trainGa04M0;w003;5;8.263
trainGa04M0;w003;6;6.046
trainGa04M0;w003;7;4.435
trainGa04M0;w003;8;3.807
trainGa04M0;w003;9;3.550
trainGa04M0;w003;10;4.092
trainGa04M0;w003;11;5.404
trainGa04M0;w003;12;5.849
trainGa04M0;w003;13;6.023
trainGa04M0;w003;14;5.730
trainGa04M0;w003;15;7.574
trainGa04M0;w003;16;6.634
trainGa04M0;w003;17;8.892
trainGa04M0;w003;18;7.024
trainGa04M0;w003;19;9.304
trainGa04M0;w003;20;16.830
trainGa04M0;w003;21;14.747
trainGa04M0;w003;22;14.165
trainGa04M0;w003;23;23.478
trainGa04M0;w003;24;17.080
trainGa04M0;w003;25;18.509
trainGa04M0;w003;26;20.511
trainGa04M0;w003;27;16.973
trainGa04M0;w003;28;22.822
trainGa04M0;w003;29;21.809
trainGa04M0;w003;30;22.973
trainGa04M0;w003;31;23.829
trainGa04M0;w003;32;28.202
trainGa04M0;w003;33;22.160
trainGa04M0;w003;34;37.155
trainGa04M0;w003;35;17.314
trainGa04M0;w003;36;28.054
trainGa04M0;w003;37;25.804
trainGa04M0;w003;38;26.696
trainGa04M0;w003;39;27.887
trainGa04M0;w003;40;27.021
trainGa04M0;w003;41;33.170
trainGa04M0;w003;42;25.371
trainGa04M0;w003;43;24.613
trainGa04M0;w003;44;19.512
trainGa04M0;w003;45;30.041
trainGa04M0;w003;46;24.694
trainGa04M0;w003;47;18.926
trainGa04M0;w003;48;33.504
trainGa04M0;w003;49;28.593
trainGa04M0;w003;50;28.099
trainGa04M0;w003;51;23.676
trainGa04M0;w003;52;26.221
trainGa04M0;w003;53;26.470
trainGa04M0;w003;54;25.561
trainGa04M0;w003;55;25.958
trainGa04M0;w003;56;29.154
trainGa04M0;w003;57;41.353
trainGa04M0;w003;58;31.432
trainGa04M0;w003;59;33.824
trainGa04M0;w003;60;40.748
trainGa04M0;w003;61;43.856
trainGa04M0;w003;62;50.665
trainGa04M0;w003;63;39.207
trainGa04M0;w003;64;38.558
trainGa04M0;w003;65;39.524
trainGa04M0;w003;66;33.793
trainGa04M0;w003;67;33.681
trainGa04M0;w003;68;28.466
trainGa04M0;w003;69;39.064
trainGa04M0;w003;70;40.002
trainGa04M0;w003;71;36.207
trainGa04M0;w003;72;36.980
trainGa04M0;w003;73;37.380
trainGa04M0;w003;74;39.134
trainGa04M0;w003;75;39.361
trainGa04M0;w003;76;42.686
trainGa04M0;w003;77;41.334
trainGa04M0;w003;78;40.652
trainGa04M0;w003;79;45.073
trainGa04M0;w003;80;42.648
trainGa04M0;w003;81;848.151
trainGa04M0;w003;82;43.552
trainGa04M0;w003;83;50.396
trainGa04M0;w003;84;37.909
trainGa04M0;w003;85;40.186
trainGa04M0;w003;86;45.548
trainGa04M0;w003;87;50.007
trainGa04M0;w003;88;52.149
trainGa04M0;w003;89;48.779
trainGa04M0;w003;90;43.572
trainGa04M0;w003;91;53.269
trainGa04M0;w003;92;52.771
trainGa04M0;w003;93;42.213
trainGa04M0;w003;94;52.853
trainGa04M0;w003;95;59.663
trainGa04M0;w003;96;59.758
trainGa04M0;w003;97;51.582
trainGa04M0;w003;98;53.495
trainGa04M0;w003;99;54.679
trainGa04M0;w003;100;56.613
trainGa04M0;w003;101;67.831
trainGa04M0;w003;102;65.802
trainGa04M0;w003;103;840.225
trainGa04M0;w003;104;40.367
trainGa04M0;w003;105;49.822
trainGa04M0;w003;106;50.303
trainGa04M0;w003;107;57.907
trainGa04M0;w003;108;53.086
trainGa04M0;w003;109;49.934
trainGa04M0;w003;110;51.512
trainGa04M0;w003;111;65.873
trainGa04M0;w003;112;79.107
trainGa04M0;w003;113;62.137
trainGa04M0;w003;114;58.488
trainGa04M0;w003;115;67.391
trainGa04M0;w003;116;77.609
trainGa04M0;w003;117;68.511
trainGa04M0;w003;118;52.865
trainGa04M0;w003;119;70.727
trainGa04M0;w003;120;64.277
trainGa04M0;w003;121;56.990
trainGa04M0;w003;122;67.543
trainGa04M0;w003;123;75.944
trainGa04M0;w003;124;70.467
trainGa04M0;w003;125;72.069
trainGa04M0;w003;126;59.646
trainGa04M0;w003;127;69.021
trainGa04M0;w003;128;67.158
trainGa04M0;w003;129;81.349
trainGa04M0;w003;130;72.548
trainGa04M0;w003;131;85.733
trainGa04M0;w003;132;75.441
trainGa04M0;w003;133;71.620
trainGa04M0;w003;134;64.179
trainGa04M0;w003;135;72.180
trainGa04M0;w003;136;77.033
trainGa04M0;w003;137;113.339
trainGa04M0;w003;138;88.842
trainGa04M0;w003;139;71.978
trainGa04M0;w003;140;73.899
trainGa04M0;w003;141;91.609
trainGa04M0;w003;142;94.280
trainGa04M0;w003;143;105.566
trainGa04M0;w003;144;65.728
trainGa04M0;w003;145;85.097
trainGa04M0;w003;146;92.226
trainGa04M0;w003;147;112.948
trainGa04M0;w003;148;86.466
trainGa04M0;w003;149;80.277
trainGa04M0;w003;150;94.186
trainGa04M0;w003;151;85.863
trainGa04M0;w003;152;117.158
trainGa04M0;w003;153;129.008
trainGa04M0;w003;154;113.475
trainGa04M0;w003;155;121.093
trainGa04M0;w003;156;104.057
trainGa04M0;w003;157;93.725
trainGa04M0;w003;158;109.648
trainGa04M0;w003;159;117.304
trainGa04M0;w003;160;129.131
trainGa04M0;w003;161;107.064
trainGa04M0;w003;162;122.014
trainGa04M0;w003;163;118.485
trainGa04M0;w003;164;111.504
trainGa04M0;w003;165;124.474
trainGa04M0;w003;166;91.918
trainGa04M0;w003;167;127.764
trainGa04M0;w003;168;117.582
trainGa04M0;w003;169;124.851
trainGa04M0;w003;170;98.274
trainGa04M0;w003;171;116.994
trainGa04M0;w003;172;110.710
trainGa04M0;w003;173;136.531
trainGa04M0;w003;174;141.138
trainGa04M0;w003;175;101.588
trainGa04M0;w003;176;117.829
trainGa04M0;w003;177;115.771
trainGa04M0;w003;178;138.764
trainGa04M0;w003;179;142.256
trainGa04M0;w003;180;94.274
trainGa04M0;w003;181;96.284
trainGa04M0;w003;182;112.774
trainGa04M0;w003;183;106.315
trainGa04M0;w003;184;114.660
trainGa04M0;w003;185;107.905
trainGa04M0;w003;186;113.589
trainGa04M0;w003;187;107.167
trainGa04M0;w003;188;110.592
trainGa04M0;w003;189;105.447
trainGa04M0;w003;190;114.223
trainGa04M0;w003;191;674.702
trainGa04M0;w003;192;116.121
trainGa04M0;w003;193;96.183
trainGa04M0;w003;194;97.723
trainGa04M0;w003;195;103.217
trainGa04M0;w003;196;98.794
trainGa04M0;w003;197;111.622
trainGa04M0;w003;198;113.071
trainGa04M0;w003;199;97.824
trainGa04M0;w003;200;121.952
trainGa04M0;w003;201;112.258
trainGa04M0;w003;202;139.745
trainGa04M0;w003;203;142.121
trainGa04M0;w003;204;172.027
trainGa04M0;w003;205;121.333
trainGa04M0;w003;206;143.032
trainGa04M0;w003;207;115.884
trainGa04M0;w003;208;928.519
trainGa04M0;w003;209;98.579
trainGa04M0;w003;210;132.946
trainGa04M0;w003;211;129.774
