trainGaId;trainGaNr;iterations;score
trainGa04M0;w001;1;4.933
trainGa04M0;w001;2;7.165
trainGa04M0;w001;3;8.616
trainGa04M0;w001;4;16.514
trainGa04M0;w001;5;10.884
trainGa04M0;w001;6;16.910
trainGa04M0;w001;7;18.447
trainGa04M0;w001;8;18.237
trainGa04M0;w001;9;20.354
trainGa04M0;w001;10;30.258
trainGa04M0;w001;11;31.810
trainGa04M0;w001;12;39.565
trainGa04M0;w001;13;36.703
trainGa04M0;w001;14;58.618
trainGa04M0;w001;15;48.591
trainGa04M0;w001;16;50.410
trainGa04M0;w001;17;45.208
trainGa04M0;w001;18;43.707
trainGa04M0;w001;19;46.198
trainGa04M0;w001;20;46.999
trainGa04M0;w001;21;53.063
trainGa04M0;w001;22;59.005
trainGa04M0;w001;23;41.064
trainGa04M0;w001;24;50.322
trainGa04M0;w001;25;52.528
trainGa04M0;w001;26;44.821
trainGa04M0;w001;27;48.575
trainGa04M0;w001;28;55.815
trainGa04M0;w001;29;49.753
trainGa04M0;w001;30;45.210
trainGa04M0;w001;31;43.753
trainGa04M0;w001;32;44.956
trainGa04M0;w001;33;47.622
trainGa04M0;w001;34;45.105
trainGa04M0;w001;35;43.701
trainGa04M0;w001;36;42.108
trainGa04M0;w001;37;42.866
trainGa04M0;w001;38;52.261
trainGa04M0;w001;39;49.274
trainGa04M0;w001;40;47.557
trainGa04M0;w001;41;50.539
trainGa04M0;w001;42;45.006
trainGa04M0;w001;43;44.765
trainGa04M0;w001;44;48.644
trainGa04M0;w001;45;44.704
trainGa04M0;w001;46;48.050
trainGa04M0;w001;47;52.819
trainGa04M0;w001;48;63.041
trainGa04M0;w001;49;56.084
trainGa04M0;w001;50;63.167
trainGa04M0;w001;51;60.664
trainGa04M0;w001;52;48.896
trainGa04M0;w001;53;51.201
trainGa04M0;w001;54;58.719
trainGa04M0;w001;55;72.793
trainGa04M0;w001;56;61.906
trainGa04M0;w001;57;63.129
trainGa04M0;w001;58;54.745
trainGa04M0;w001;59;72.847
trainGa04M0;w001;60;70.463
trainGa04M0;w001;61;61.042
trainGa04M0;w001;62;71.966
trainGa04M0;w001;63;61.925
trainGa04M0;w001;64;66.602
trainGa04M0;w001;65;65.926
trainGa04M0;w001;66;77.250
trainGa04M0;w001;67;50.277
trainGa04M0;w001;68;59.597
trainGa04M0;w001;69;62.186
trainGa04M0;w001;70;57.638
trainGa04M0;w001;71;65.481
trainGa04M0;w001;72;58.363
trainGa04M0;w001;73;60.240
trainGa04M0;w001;74;48.865
trainGa04M0;w001;75;61.938
